name,url,reposOwned
learn-co-students,https://github.com/learn-co-students,255
sindresorhus,https://github.com/sindresorhus,242
substack,https://github.com/substack,95
mafintosh,https://github.com/mafintosh,67
LambdaSchool,https://github.com/LambdaSchool,65
ga-wdi-boston,https://github.com/ga-wdi-boston,58
mozilla,https://github.com/mozilla,55
tj,https://github.com/tj,55
mapbox,https://github.com/mapbox,50
GoogleChromeLabs,https://github.com/GoogleChromeLabs,49
webpack-contrib,https://github.com/webpack-contrib,46
egoist,https://github.com/egoist,41
developit,https://github.com/developit,40
FormidableLabs,https://github.com/FormidableLabs,39
kentcdodds,https://github.com/kentcdodds,39
koajs,https://github.com/koajs,34
lukeed,https://github.com/lukeed,33
zeit,https://github.com/zeit,33
fossasia,https://github.com/fossasia,32
d3,https://github.com/d3,31
mattdesl,https://github.com/mattdesl,31
jxnblk,https://github.com/jxnblk,30
apache,https://github.com/apache,29
gajus,https://github.com/gajus,29
vuejs,https://github.com/vuejs,29
DevMountain,https://github.com/DevMountain,28
feross,https://github.com/feross,28
gruntjs,https://github.com/gruntjs,28
maxogden,https://github.com/maxogden,28
google,https://github.com/google,26
react-component,https://github.com/react-component,26
expressjs,https://github.com/expressjs,25
progedu,https://github.com/progedu,25
reactjs,https://github.com/reactjs,25
atom,https://github.com/atom,24
googlearchive,https://github.com/googlearchive,24
hapijs,https://github.com/hapijs,24
jaredhanson,https://github.com/jaredhanson,24
microsoft,https://github.com/microsoft,24
postcss,https://github.com/postcss,23
strongloop,https://github.com/strongloop,23
yeoman,https://github.com/yeoman,23
bevacqua,https://github.com/bevacqua,22
nuxt-community,https://github.com/nuxt-community,21
airbnb,https://github.com/airbnb,20
anvaka,https://github.com/anvaka,20
bradtraversy,https://github.com/bradtraversy,20
dominictarr,https://github.com/dominictarr,20
npm,https://github.com/npm,20
angular,https://github.com/angular,19
angular-ui,https://github.com/angular-ui,19
babel,https://github.com/babel,19
bvaughn,https://github.com/bvaughn,19
facebook,https://github.com/facebook,19
webpack,https://github.com/webpack,19
TooTallNate,https://github.com/TooTallNate,18
auth0,https://github.com/auth0,18
eggjs,https://github.com/eggjs,18
expo,https://github.com/expo,18
facebookarchive,https://github.com/facebookarchive,18
fex-team,https://github.com/fex-team,18
filamentgroup,https://github.com/filamentgroup,18
gaearon,https://github.com/gaearon,18
node-modules,https://github.com/node-modules,18
typicode,https://github.com/typicode,18
uber,https://github.com/uber,18
Automattic,https://github.com/Automattic,17
WebReflection,https://github.com/WebReflection,17
bahmutov,https://github.com/bahmutov,17
browserify,https://github.com/browserify,17
devleague,https://github.com/devleague,17
serverless,https://github.com/serverless,17
thlorenz,https://github.com/thlorenz,17
alibaba,https://github.com/alibaba,16
dwyl,https://github.com/dwyl,16
jshttp,https://github.com/jshttp,16
krasimir,https://github.com/krasimir,16
vadimdemedes,https://github.com/vadimdemedes,16
wix,https://github.com/wix,16
yankouskia,https://github.com/yankouskia,16
HenrikJoreteg,https://github.com/HenrikJoreteg,15
Wildhoney,https://github.com/Wildhoney,15
aws-samples,https://github.com/aws-samples,15
bitpay,https://github.com/bitpay,15
ericelliott,https://github.com/ericelliott,15
segmentio,https://github.com/segmentio,15
RisingStack,https://github.com/RisingStack,14
heroku,https://github.com/heroku,14
