moduleName,totalDependsOn
lodash,1792.0
debug,1137.0
chalk,1019.0
prop-types,791.0
async,667.0
request,632.0
mkdirp,624.0
semver,613.0
through2,589.0
commander,577.0
fs-extra,569.0
glob,567.0
express,493.0
bluebird,461.0
babel-runtime,422.0
@babel/runtime,415.0
minimist,378.0
underscore,365.0
yargs,343.0
uuid,337.0
moment,321.0
rimraf,312.0
postcss,307.0
object-assign,305.0
colors,295.0
react,283.0
jquery,282.0
classnames,264.0
resolve,243.0
body-parser,242.0
readable-stream,241.0
@types/node,240.0
tslib,237.0
loader-utils,233.0
ember-cli-babel,233.0
minimatch,231.0
js-yaml,229.0
q,225.0
xtend,211.0
react-dom,208.0
inherits,188.0
source-map,185.0
core-js,184.0
gulp-util,182.0
ws,178.0
mime,178.0
extend,168.0
chokidar,167.0
optimist,166.0
nan,164.0
plugin-error,164.0
@babel/core,161.0
inquirer,158.0
webpack,152.0
socket.io,148.0
graceful-fs,147.0
node-fetch,146.0
marked,143.0
babel-core,141.0
cheerio,135.0
through,134.0
ejs,127.0
globby,126.0
execa,125.0
redux,124.0
axios,120.0
unist-util-visit,120.0
source-map-support,119.0
which,119.0
shelljs,119.0
qs,118.0
eslint,118.0
xml2js,117.0
winston,117.0
handlebars,113.0
cross-spawn,112.0
strip-ansi,111.0
concat-stream,111.0
@babel/helper-plugin-utils,108.0
invariant,108.0
safe-buffer,108.0
uglify-js,107.0
babel-loader,107.0
dotenv,106.0
esprima,105.0
meow,105.0
@turf/helpers,104.0
update-notifier,102.0
vinyl,100.0
clone,99.0
lru-cache,98.0
react-redux,97.0
compression,95.0
mocha,93.0
deepmerge,93.0
babel-eslint,92.0
es6-promise,92.0
ora,90.0
css-loader,90.0
pify,90.0
once,89.0
@babel/preset-env,89.0
tmp,87.0
highlight.js,87.0
iconv-lite,85.0
eslint-plugin-import,85.0
@babel/types,84.0
morgan,84.0
ramda,84.0
acorn,82.0
superagent,82.0
babel-preset-es2015,82.0
cookie-parser,81.0
broccoli-funnel,80.0
pull-stream,80.0
babel-polyfill,78.0
can-reflect,78.0
slash,77.0
cors,77.0
npmlog,76.0
open,76.0
ms-rest,76.0
mime-types,75.0
eslint-plugin-react,75.0
extend-shallow,75.0
style-loader,75.0
co,74.0
got,74.0
file-loader,74.0
connect,73.0
bindings,73.0
ms-rest-azure,73.0
ajv,72.0
diff,72.0
escape-string-regexp,72.0
hoist-non-react-statics,72.0
events,72.0
tar,72.0
jsdom,71.0
autoprefixer,71.0
warning,70.0
deep-equal,69.0
kind-of,69.0
immutable,69.0
jsonwebtoken,69.0
can-namespace,69.0
prettier,68.0
lodash.merge,68.0
fancy-log,68.0
less,68.0
aws-sdk,68.0
express-session,68.0
json-stringify-safe,67.0
micromatch,67.0
progress,67.0
xmldom,67.0
broccoli-merge-trees,67.0
convert-source-map,66.0
global,66.0
nopt,66.0
coffee-script,66.0
joi,66.0
hoek,66.0
escodegen,65.0
socket.io-client,65.0
serve-static,65.0
browserify,65.0
d3,65.0
typescript,64.0
path-to-regexp,64.0
opn,64.0
lazy-cache,64.0
eventemitter3,63.0
chai,63.0
vue,63.0
event-stream,63.0
validator,63.0
mongodb,63.0
redis,63.0
@polymer/polymer,63.0
mongoose,62.0
ember-cli-htmlbars,62.0
url-loader,61.0
unified-lint-rule,61.0
raf,60.0
@turf/invariant,60.0
@babel/traverse,59.0
angular,59.0
react-router,58.0
babel-types,58.0
lodash.get,58.0
find-up,57.0
query-string,57.0
markdown-it,57.0
clean-css,57.0
@babel/parser,56.0
bootstrap,56.0
isomorphic-fetch,56.0
whatwg-fetch,56.0
rsvp,56.0
estraverse,56.0
@babel/plugin-proposal-class-properties,56.0
url,56.0
webpack-sources,56.0
bignumber.js,56.0
lodash.debounce,56.0
regenerator-runtime,55.0
create-react-class,55.0
strip-json-comments,55.0
mz,55.0
mustache,55.0
archiver,55.0
resolve-from,54.0
@types/react,54.0
rc,54.0
isobject,54.0
bn.js,54.0
postcss-loader,54.0
webpack-dev-server,54.0
ember-cli-version-checker,54.0
react-lifecycles-compat,53.0
rxjs,53.0
gulp,53.0
json5,52.0
lodash.isequal,52.0
del,52.0
request-promise,52.0
passport,52.0
serve-favicon,52.0
